engine,arm,round,row_index,feature,gamma,prediction_gap,attribution
xgboost,direction_fixed_stale_reversal,2,65,bone_formation,0.0,-0.09081823390442878,0.0
xgboost,direction_fixed_stale_reversal,2,65,bone_resorption,0.016348503517531483,-0.09081823390442878,-0.0023399471023222433
xgboost,direction_fixed_stale_reversal,2,65,hydration_fluid_intake,0.2076245721200251,-0.09081823390442878,-0.018760681059657586
xgboost,direction_fixed_stale_reversal,2,65,urine_chemistry,0.19142192655547113,-0.09081823390442878,-0.028784770297287862
xgboost,direction_and_reversal_fixed,2,65,duration,0.0005436776664056933,-0.09081823390442878,-8.94388955683409e-05
xgboost,direction_and_reversal_fixed,2,65,sex,0.0,-0.09081823390442878,-0.0
xgboost,direction_and_reversal_fixed,2,65,urinary_calcium_excretion,0.0911379686197976,-0.09081823390442878,-0.014284603566788194
xgboost,direction_and_reversal_fixed,2,65,parathyroid_suppression,0.0649078240787973,-0.09081823390442878,-0.005901256757890289
xgboost,direction_and_reversal_fixed,2,65,hypercalciuria_predisposition,0.04442000352667428,-0.09081823390442878,-0.0038522992277696413
xgboost,direction_and_reversal_fixed,2,65,history_of_nephrolithiasis,0.17400921175599865,-0.09081823390442878,-0.008568585733266201
xgboost,direction_and_reversal_fixed,2,65,vitamin_d_inflight,0.06695627485897059,-0.09081823390442878,-0.002843171283392782
xgboost,direction_and_reversal_fixed,2,65,nutrients_risk,0.06264198391522359,-0.09081823390442878,-0.004575542806317442
xgboost,direction_and_reversal_fixed,2,65,urinary_oxalate_excretion,0.08169187354270285,-0.09081823390442878,-0.0009825031302949378
xgboost,direction_and_reversal_fixed,2,65,bone_formation,0.0,-0.09081823390442878,0.0
xgboost,direction_and_reversal_fixed,2,65,bone_resorption,0.016281447078015647,-0.09081823390442878,-0.0023322278970222383
xgboost,direction_and_reversal_fixed,2,65,hydration_fluid_intake,0.2067729611730392,-0.09081823390442878,-0.01869879181928814
xgboost,direction_and_reversal_fixed,2,65,urine_chemistry,0.19063677378437457,-0.09081823390442878,-0.028689812786830575
xgboost,legacy,2,48,duration,0.0006261892187620237,-0.07600745651870966,-0.00036941028517944774
xgboost,legacy,2,48,sex,0.0,-0.07600745651870966,-0.0
xgboost,legacy,2,48,urinary_calcium_excretion,0.09787644018628514,-0.07600745651870966,-0.012513286840692165
xgboost,legacy,2,48,parathyroid_suppression,0.0,-0.07600745651870966,-0.0
xgboost,legacy,2,48,hypercalciuria_predisposition,0.0,-0.07600745651870966,0.0
xgboost,legacy,2,48,history_of_nephrolithiasis,0.20041781941724301,-0.07600745651870966,-0.01893676491457288
xgboost,legacy,2,48,vitamin_d_inflight,0.07711793225265186,-0.07600745651870966,-0.008877151186117583
xgboost,legacy,2,48,nutrients_risk,0.07214888047342888,-0.07600745651870966,-0.007267794961065816
xgboost,legacy,2,48,urinary_oxalate_excretion,0.09408988750834485,-0.07600745651870966,-0.010729160360303282
xgboost,legacy,2,48,bone_formation,0.0,-0.07600745651870966,0.0
xgboost,legacy,2,48,bone_resorption,0.0,-0.07600745651870966,0.0
xgboost,legacy,2,48,hydration_fluid_intake,0.23815397802535107,-0.07600745651870966,0.031188002346233323
xgboost,legacy,2,48,urine_chemistry,0.21956887291793314,-0.07600745651870966,-0.04850189031701181
xgboost,direction_fixed_stale_reversal,2,48,duration,0.0005459168462758089,-0.07600745651870966,-0.00038036088205337484
xgboost,direction_fixed_stale_reversal,2,48,sex,0.0,-0.07600745651870966,-0.0
xgboost,direction_fixed_stale_reversal,2,48,urinary_calcium_excretion,0.09151332761897414,-0.07600745651870966,-0.013817947383324165
xgboost,direction_fixed_stale_reversal,2,48,parathyroid_suppression,0.06517515213376618,-0.07600745651870966,-0.01633445033659964
xgboost,direction_fixed_stale_reversal,2,48,hypercalciuria_predisposition,0.04460295085718532,-0.07600745651870966,0.01714751022835783
xgboost,direction_fixed_stale_reversal,2,48,history_of_nephrolithiasis,0.17472588258552646,-0.07600745651870966,-0.019498116038229554
xgboost,direction_fixed_stale_reversal,2,48,vitamin_d_inflight,0.06723203962200254,-0.07600745651870966,-0.009140300610830694
xgboost,direction_fixed_stale_reversal,2,48,nutrients_risk,0.05878140009800595,-0.07600745651870966,-0.0069932483048787755
xgboost,direction_fixed_stale_reversal,2,48,urinary_oxalate_excretion,0.08202832804523588,-0.07600745651870966,-0.011047209734170409
xgboost,direction_fixed_stale_reversal,2,48,bone_formation,0.0,-0.07600745651870966,0.0
xgboost,direction_fixed_stale_reversal,2,48,bone_resorption,0.016348503517531483,-0.07600745651870966,0.0018837979590802289
xgboost,direction_fixed_stale_reversal,2,48,hydration_fluid_intake,0.2076245721200251,-0.07600745651870966,0.032112522465728086
